X,Y,,
2.6,-0.01,,
2.602,0.025,,
2.604,0.005,,
2.606,0.075,,
2.608,0.045,,
2.61,0,,
2.612,0.065,,
2.614,-0.015,,
2.616,-0.06,,
2.618,-0.185,,
2.62,-0.185,,
2.622,0,,
2.624,0.07,,
2.626,0.105,,
2.628,0.025,,
2.63,0.025,,
2.632,-0.045,,
2.634,-0.055,,
2.636,0,,
2.638,-0.1,,
2.64,-0.14,,
2.642,-0.09,,
2.644,-0.11,,
2.646,-0.08,,
2.648,0,,
2.65,-0.04,,
2.652,-0.105,,
2.654,-0.15,,
2.656,-0.12,,
2.658,-0.13,,
2.66,-0.175,,
2.662,-0.13,,
2.664,-0.095,,
2.666,-0.125,,
2.668,-0.18,,
2.67,-0.055,,
2.672,0.09,,
2.674,-0.015,,
2.676,-0.125,,
2.678,-0.165,,
2.68,-0.175,,
2.682,-0.09,,
2.684,-0.23,,
2.686,-0.11,,
2.688,0.02,,
2.69,0.005,,
2.692,0.005,,
2.694,-0.03,,
2.696,-0.15,,
2.698,-0.145,,
2.7,-0.16,,
2.702,-0.195,,
2.704,-0.165,,
2.706,-0.04,,
2.708,0.04,,
2.71,-0.025,,
2.712,-0.06,,
2.714,-0.015,,
2.716,-0.115,,
2.718,-0.135,,
2.72,-0.155,,
2.722,-0.05,,
2.724,-0.03,,
2.726,-0.08,,
2.728,-0.14,,
2.73,-0.09,,
2.732,-0.005,,
2.734,-0.055,,
2.736,-0.145,,
2.738,-0.155,,
2.74,-0.16,,
2.742,-0.105,,
2.744,-0.03,,
2.746,-0.02,,
2.748,0.005,,
2.75,-0.005,,
2.752,-0.015,,
2.754,-0.065,,
2.756,-0.115,,
2.758,-0.085,,
2.76,-0.145,,
2.762,-0.075,,
2.764,-0.075,,
2.766,-0.06,,
2.768,-0.03,,
2.77,0.045,,
2.772,-0.025,,
2.774,-0.095,,
2.776,-0.065,,
2.778,-0.045,,
2.78,-0.095,,
2.782,0.005,,
2.784,-0.09,,
2.786,-0.09,,
2.788,-0.005,,
2.79,0.02,,
2.792,-0.07,,
2.794,-0.11,,
2.796,-0.12,,
2.798,-0.155,,
2.8,-0.135,,
2.802,-0.14,,
2.804,-0.075,,
2.806,-0.005,,
2.808,-0.025,,
2.81,-0.055,,
2.812,-0.015,,
2.814,-0.03,,
2.816,-0.11,,
2.818,-0.125,,
2.82,-0.085,,
2.822,-0.13,,
2.824,-0.105,,
2.826,-0.01,,
2.828,0.07,,
2.83,0.005,,
2.832,-0.035,,
2.834,-0.095,,
2.836,-0.165,,
2.838,-0.08,,
2.84,-0.185,,
2.842,-0.155,,
2.844,-0.07,,
2.846,-0.035,,
2.848,-0.04,,
2.85,-0.02,,
2.852,-0.025,,
2.854,-0.09,,
2.856,-0.2,,
2.858,-0.095,,
2.86,-0.09,,
2.862,-0.085,,
2.864,-0.02,,
2.866,-0.01,,
2.868,-0.045,,
2.87,-0.055,,
2.872,-0.07,,
2.874,-0.12,,
2.876,-0.15,,
2.878,-0.21,,
2.88,-0.21,,
2.882,0,,
2.884,-0.005,,
2.886,-0.015,,
2.888,-0.035,,
2.89,0,,
2.892,-0.03,,
2.894,-0.13,,
2.896,-0.165,,
2.898,-0.185,,
2.9,-0.145,,
2.902,-0.1,,
2.904,-0.145,,
2.906,-0.165,,
2.908,-0.125,,
2.91,0.06,,
2.912,0.02,,
2.914,-0.055,,
2.916,-0.125,,
2.918,-0.11,,
2.92,-0.145,,
2.922,-0.14,,
2.924,-0.095,,
2.926,-0.025,,
2.928,-0.01,,
2.93,-0.02,,
2.932,-0.105,,
2.934,-0.145,,
2.936,-0.11,,
2.938,-0.125,,
2.94,-0.08,,
2.942,-0.02,,
2.944,0.035,,
2.946,0.005,,
2.948,-0.05,,
2.95,-0.03,,
2.952,-0.095,,
2.954,-0.07,,
2.956,-0.09,,
2.958,-0.24,,
2.96,-0.17,,
2.962,-0.045,,
2.964,-0.01,,
2.966,-0.01,,
2.968,-0.02,,
2.97,-0.02,,
2.972,-0.03,,
2.974,-0.095,,
2.976,-0.12,,
2.978,-0.12,,
2.98,-0.105,,
2.982,-0.105,,
2.984,0.01,,
2.986,0.065,,
2.988,0.085,,
2.99,0.05,,
2.992,-0.005,,
2.994,-0.09,,
2.996,-0.135,,
2.998,-0.035,,
3,-0.005,,
